922 922 924 924 926 926 925 925 920 920 980 980 1046 1046 1067 1067 1020 1020 978 978 
922 922 924 924 926 926 925 925 920 920 980 980 1046 1046 1067 1067 1020 1020 978 978 
929 929 931 931 933 933 934 934 949 949 1002 1002 1060 1060 1070 1070 1020 1020 1000 1000 
929 929 931 931 933 933 934 934 949 949 1002 1002 1060 1060 1070 1070 1020 1020 1000 1000 
935 935 938 938 944 944 954 954 980 980 1029 1029 1076 1076 1084 1084 1058 1058 1045 1045 
935 935 938 938 944 944 954 954 980 980 1029 1029 1076 1076 1084 1084 1058 1058 1045 1045 
957 957 970 970 982 982 980 980 1021 1021 1064 1064 1095 1095 1100 1100 1087 1087 1073 1073 
957 957 970 970 982 982 980 980 1021 1021 1064 1064 1095 1095 1100 1100 1087 1087 1073 1073 
1004 1004 1015 1015 1023 1023 1016 1016 1043 1043 1089 1089 1115 1115 1117 1117 1101 1101 1083 1083 
1004 1004 1015 1015 1023 1023 1016 1016 1043 1043 1089 1089 1115 1115 1117 1117 1101 1101 1083 1083 
1050 1050 1067 1067 1078 1078 1069 1069 1076 1076 1108 1108 1127 1127 1122 1122 1100 1100 1076 1076 
1050 1050 1067 1067 1078 1078 1069 1069 1076 1076 1108 1108 1127 1127 1122 1122 1100 1100 1076 1076 
1100 1100 1130 1130 1140 1140 1126 1126 1117 1117 1124 1124 1121 1121 1106 1106 1087 1087 1065 1065 
1100 1100 1130 1130 1140 1140 1126 1126 1117 1117 1124 1124 1121 1121 1106 1106 1087 1087 1065 1065 
1135 1135 1160 1160 1164 1164 1152 1152 1142 1142 1115 1115 1088 1088 1073 1073 1057 1057 1034 1034 
1135 1135 1160 1160 1164 1164 1152 1152 1142 1142 1115 1115 1088 1088 1073 1073 1057 1057 1034 1034 
1132 1132 1155 1155 1163 1163 1150 1150 1123 1123 1095 1095 1065 1065 1040 1040 1035 1035 1022 1022 
1132 1132 1155 1155 1163 1163 1150 1150 1123 1123 1095 1095 1065 1065 1040 1040 1035 1035 1022 1022 
1118 1118 1145 1145 1151 1151 1144 1144 1111 1111 1089 1089 1073 1073 1068 1068 1066 1066 1058 1058 
1118 1118 1145 1145 1151 1151 1144 1144 1111 1111 1089 1089 1073 1073 1068 1068 1066 1066 1058 1058 
